index,sample,fpl,SWB_2,FWBscore,FWB1_1,FWB1_2,FWB1_5,FWB2_3,FSscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,SAVEHABIT,ENDSMEET,HOUSING,HOUSERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_5,PRODUSE_1,VOLATILITY,MATHARDSHIP_3,COLLECT,REJECTED_1,SHOCKS_8,MATERIALISM_3,HEALTH,PPEDUC,EMPLOY,agecat,generation,PPETHM,PPGENDER,PPINCIMP,PPMARIT,Util_cutoff_no_pay,Property taxes Mean,Mortgage interest and charges Mean,"Utilities, fuels, and public services Mean",Telephone services Mean,"Residential phone service, VOIP, and phone cards Mean",Cellular phone service Mean,Health insurance Mean,Education Mean
61,2,4,7,63,5,5,5,3,56,6,5,6,6,2,2,8,4,8,2,2,2,2,1,2,2,1,1,1,4,5,6,4,7,3,2,2,10,2,2,3687,2754,4249,1438,289,1149,3566,2370
62,2,4,7,63,5,5,3,3,56,6,6,6,7,2,2,100,100,100,2,1,1,1,1,3,2,1,1,1,2,5,6,9,7,3,2,3,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
63,2,4,7,53,5,5,3,3,57,5,5,5,7,3,2,5,3,7,2,1,2,1,1,2,2,1,1,1,4,4,5,3,4,4,2,2,7,5,2,3687,2754,4249,1438,289,1149,3566,2370
64,2,4,8,64,4,5,3,2,62,6,5,5,6,2,2,8,4,8,2,2,2,2,1,2,2,1,1,1,3,6,6,3,4,4,2,2,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
65,2,4,4,51,4,4,4,3,52,6,4,4,7,3,2,8,3,5,2,2,2,1,1,2,3,1,1,1,3,5,4,3,5,3,2,3,10,2,3,3687,2754,4249,1438,289,1149,3566,2370
66,2,4,5,57,4,4,5,3,50,6,6,6,7,2,2,100,100,8,2,1,2,2,1,2,2,1,1,1,2,4,6,9,9,2,2,3,7,2,2,2206,2286,3943,1332,197,1134,3669,1107
67,2,4,3,51,2,3,4,3,44,6,6,2,6,4,2,5,3,6,2,2,2,1,1,3,2,1,1,1,3,4,3,4,6,3,2,2,6,2,2,1545,2558,4092,1413,197,1216,3444,1143
68,2,4,7,60,4,4,4,3,45,6,5,6,7,2,2,3,2,7,2,2,2,2,1,2,2,1,1,1,3,4,3,3,7,3,3,2,7,2,2,1545,2558,4092,1413,197,1216,3444,1143
69,2,4,8,51,4,4,4,4,42,6,4,4,6,3,2,8,4,6,2,2,2,2,1,3,2,2,1,1,4,5,3,9,7,3,2,3,10,2,2,1545,2558,4092,1413,197,1216,3444,1143
71,3,4,6,51,3,4,4,3,38,5,4,5,5,3,2,7,4,8,2,1,1,1,1,2,2,2,1,1,5,3,4,7,7,3,5,2,6,2,2,2055,3598,3932,1450,161,1289,3236,1469
72,2,4,7,57,4,4,3,3,45,6,5,6,7,2,2,7,3,7,2,1,2,1,1,2,2,1,1,1,3,4,6,3,4,4,2,3,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
